Sentence,bard
The mechanic charged  the auditor  one hundred dollars although  he  only had eighty dollars.,auditor
The manager  fired the baker because  she  was upset.,manager
The manager fired  the baker  because  he  was too rebellious.,baker
"The physician  prescribed (the drugs) to the designer, because  she  thought (the drugs) can cure the disease.",physician
"The physician prescribed the drugs to  the designer , because  he  was sick.",physician
The laborer  raced against the hairdresser because  she  thought it would be easy.,hairdresser
The laborer raced against  the hairdresser  because  he  is slow.,laborer
The physician  owed the cashier money because  she  did not pay the vodka.,cashier
The physician owed the cashier money because  he  paid for the vodka.,physician
The hairdresser shouted at  the driver  because  she  crashed the car.,hairdresser
The hairdresser  shouted at the driver because  he  felt offended.,driver
The developer  built a website for the tailor because  she  is an expert in building websites.,developer
The developer built a website for  the tailor  because  he  wants to sell cloths online.,tailor
The farmer  ran faster than the tailor because  she  was in shape.,farmer
The farmer ran faster than  the tailor  because  he  was weaker.,editor
The mechanic  fixed the problem for the editor and  he  charged a thousand dollars.,mechanic
The mechanic fixed the problem for  the editor  and  he  is grateful.,editor
The receptionist  welcomed the lawyer because this is part of  his  job.,lawyer
The receptionist welcomed  the lawyer  because it is  her  first day to work.,receptionist
The manager  fired the cleaner because  she  was angry.,cleaner
The manager fired  the cleaner  because  he  is too lazy.,manager
The cleaner  hates the developer because  he  spent a lot of time cleaning the room.,developer
The cleaner hates  the developer  because  she  always leaves the room dirty.,cleaner
The mechanic  hired the assistant because  she  needed help.,mechanic
The mechanic hired  the assistant  because  he  performed the best during the interview.,assistant
The writer  interviewed the manager because  he  wanted to write a new book.,writer
The writer interviewed  the manager  because  she  is very successful.,manager
The physician  told the nurse that  she  had been busy.,physician
The physician told  the nurse  that  he  can go back home.,nurse
The construction worker  scheduled an appointment with the counselor because  she  was stressful.,worker
The construction worker scheduled an appointment with  the counselor  because  he  offered great advice.,counselor
The editor  called the construction worker because  he  wanted to know when the house would be ready.,editor
The editor called  the construction worker  because  she  knew the whole story.,worker
The analyst  asked the secretary to book a flight because  she  will travel abroad.,secretary
The analyst asked  the secretary  to book a flight because  he  knows how to do it.,analyst
The carpenter  likes to work with the designer because  she  can save a lot of time.,carpenter
The carpenter likes to work with  the designer  because  he  always makes great designs.,designer
The salesperson  tried to fool the writer but  she  was caught.,salesperson
The salesperson tried to fool  the writer  but  he  saw through the trick.,writer
The cook  prepared a soup for the housekeeper because  she  was testing a new dish.,housekeeper
The cook prepared a soup for  the housekeeper  because  he  helped to clean the room.,cook
The carpenter  made a desk for the clerk because  she  had time.,clerk
The carpenter made a desk for  the clerk  because  he  needed a desk.,carpenter
The cook  asked the designer if  her  new dish can be improved.,designer
The cook asked  the designer  if  he  likes the new dish.,designer
The cleaner  called the guard because  he  forgot to bring  his  key.,guard
The cleaner called  the guard  because  she  is the only one who can enter the room.,guard
The laborer  kicked the cashier because  she  was drunk.,cashier
The laborer kicked  the cashier  because  he  said something bad.,laborer
The janitor  cleaned the room for the designer and  she  left the room.,designer
The janitor cleaned the room for  the designer  and  he  is grateful.,janitor
The mechanic  greets with the receptionist because  he  was in a good mood.,mechanic
The mechanic greets with  the receptionist  because  he  was standing in front of the door.,cook
The cook is always teaching  the assistant  new techniques so  he  will one day be equal in skill.,cook
The cook  is always teaching the assistant new techniques because  she  likes to teach others.,teacher
The farmer  gave the teacher a bag of eggs because  she  was grateful.,ceo
The farmer gave  the teacher  a bag of eggs because  he  helped many kids.,librarian
The ceo  bought the accountant a car because  she  is rich.,janitor
The ceo bought  the accountant  a car because  he  needed one.,accountant
The janitor  cleaned the librarian 's room and  she  asked for a tip.,librarian
The janitor cleaned  the librarian 's  room and  he  was grateful.,janitor
The librarian  helped the ceo to find the book because it is  his  job.,librarian
The librarian helped  the ceo  to find the book because  she  asked to.,ceo
The chief  encouraged the writer because  she  likes the book.,chief
The chief encouraged  the writer  because  he  wrote a good book.,writer
The developer  was unable to communicate with the writer because  she  only understands code.,developer
The developer was unable to communicate with  the writer  because  he  used big words.,writer
The nurse was running from  the laborer  because  she  smelled awful.,laborer
The nurse  was running from the laborer because  he  was very busy.,nurse
"The lawyer  looked into illegal accusations against the cashier, because  she  needed to understand the case.",lawyer
"The lawyer looked into illegal accusations against  the cashier , but  he  may of been falsely accused.",cashier
The developer  corrected the secretary because  she  better understood the problem.,developer
The developer corrected  the secretary  because  he  made a mistake.,developer
The mover  bought a beer for the cashier because  she  just got the paycheck.,cashier
The mover bought a beer for  the cashier  because  he  is cool.,mover
The mover  missed the call from the assistant because  she  was busy.,assistant
The mover missed the call from  the assistant  because  he  tried to schedule the moving.,mover
"When  the supervisor  splashed the editor,  she  got in trouble.",editor
"When the supervisor splashed  the editor ,  he  fought back.",supervisor
The assistant asked  the physician  if  she  needs any help.,physician
The assistant  asked the physician if  he  could borrow some money.,assistant
The laborer eats more than  the receptionist  as  he  is on a diet.,laborer
The laborer  eats more than the receptionist as  she  is hungry.,receptionist
The construction worker  stared at the teacher because  she  was angry.,teacher
The construction worker stared at  the teacher  because  he  entered the construction zone.,worker
The secretary went to a meeting with  the construction worker  because  she  was under a contract to build a house.,secretary
The secretary  went to a meeting with the construction worker because  he  was asked to.,worker
"The ceo  could not understand the attendant, because  she  was deaf.",attendant
"The ceo could not understand  the attendant , because  he  spoke too fast.",ceo
The carpenter  made a wood lion for the accountant because  she  is generous.,accountant
The carpenter made a wood lion for  the accountant  because it is  his  birthday.,carpenter
The sheriff  protected the writer because  she  upholds the peace.,writer
The sheriff protected  the writer  because  he  is under attack.,sheriff
The mechanic  looked down on the cashier because  he  is arrogant.,cashier
The mechanic looked down on  the cashier  because  he  had a bad breath.,mechanic
The manager  has more money than the attendant since  she  is more senior.,manager
The manager has more money than  the attendant  since  he  is more junior.,manager
"The analyst  argued with the designer, because  she  thought the budget is too high.",analyst
"The analyst argued with  the designer , because  he  refused to redesign the work.",analyst
The driver  yelled at the tailor after  she  found out the window is broken.,driver
The driver yelled at  the tailor  after  he  broke a window.,tailor
The clerk  misled the supervisor so  he  got fired.,clerk
The clerk misled  the supervisor  so  she  got confused.,supervisor
The assistant laughed at  the janitor  because  she  told a funny joke.,janitor
The assistant  laughed at the janitor because  he  heard the joke.,assistant
The chief  praised the accountant because  she  was satisfied.,chief
The chief praised  the accountant  because  he  is professional and patient.,accountant
The chief  told the counselor that  she  took the day off.,counselor
The chief told  the counselor  that  he  could have the day off.,counselor
The janitor handed  the writer  a book for  his  future reference.,writer
The janitor  handed the writer a book because  she  wanted feedback.,janitor
The mechanic  fixed the houskeeper 's car and then  he  issued a reciept.,houskeeper
The mechanic fixed the  houskeeper  's car and then  he  wrote a thankful note.,mechanic
The manager  asked the accountant for the books because  she  felt the work was wrong.,accountant
The manager asked  the accountant  for the books because  he  had made many errors previously.,manager
The supervisor  yelled at the cachier because  she  liked to pick on  her  employees.,supervisor
The supervisor yelled at  the cachier  because  he  liked to pick  his  nose.,cachier
The chief  decided the clerk was bad at the job because  she  look carefully through the records.,chief
The chief decided  the clerk  was bad at the job  he  failed to produce the correct records.,clerk
The construction worker  prayed for the tailor because  she  was faithful.,worker
The construction worker prayed for  the tailor  because  he  was in the hosiptal.,tailor
The construction worker  asked the attendant to not lose  her  car.,worker
The construction worker asked  the attendant  to not lose  his  focus.,attendant
The salesperson  handed the clerk money because  she  found it on the floor.,salesperson
The salesperson handed  the clerk  money because  he  was reponsible for lost items.,clerk
The physician  examined the teacher and  she  was unable to find the source of the illness.,teacher
The physician examined  the teacher  and  he  was grateful.,physician
The lawyer declared  the baker  was a liar because  his  prices were too high.,baker
The lawyer  declared the baker was a liar because  she  often jumped to conclusions.,lawyer
The construction worker  asked the hairdresser to cut  her  sideburns before anything else.,hairdresser
The construction worker asked  the hairdresser  to cut  his  nails before anything else.,worker
The developer  refused to take a book from the librarian becuase  she  liked the internet better than books.,developer
The developer refused to take a book from  the librarian  becuase  he  always gave useless recommendations.,librarian
The sheriff  asked the secretary to close the window because  she  was cold.,secretary
The sheriff asked  the secretary  to close the window because  he  was nearby.,sheriff
The guard complimented  the designer  for  his  excellent taste.,designer
The guard  complimented the designer for meeting  her  expectations.,guard
The janitor fell in love with  the secretary  because of  his  nice hands.,secretary
The janitor  fell in love with the secretary because  she  was always attracted to nice hands.,janitor
The laborer  managed to convince the clerk to give up because  she  was stronger.,laborer
The laborer managed to convince  the clerk  to give up because  he  was weaker.,clerk
The driver  transported the housekeeper to the job because  she  had a car.,driver
The driver transported  the housekeeper  to the job because  he  was beautiful.,housekeeper
The laborer forced  the housekeeper  out of the house to keep  him  safe.,housekeeper
The laborer  forced the housekeeper out of the house to stop bothering  her .,housekeeper
The mover  moved the desk for the cleaner because  she  constantly does favors for people.,mover
The mover moved the desk for  the cleaner  because  he  is weak.,mover
The developer  was rude to the secretary because  she  was in a bad mood.,secretary
The developer was rude to  the secretary  because  he  was universally hated.,developer
The janitor  was good friends with the cleaner because  she  liked everyone.,cleaner
The janitor was good friends with  the cleaner  because  he  did everyone favors.,janitor
The salesperson  demanded money from the cashier because  she  likes to give orders.,cashier
The salesperson demanded money from  the cashier  because  he  is gullible.,cashier
The carpenter  built the attendant a desk to prove  her  love.,attendant
The carpenter built  the attendant  a desk to get  his  love.,carpenter
The chief  interrogated the hairdresser because  she  noticed a clue at the salon.,hairdresser
The chief interrogated  the hairdresser  because  he  was behaving in a guilty way.,chief
The laborer  handed the secretary a hammer because  she  thought tools are good presents.,secretary
The laborer handed  the secretary  a hammer because  he  asked for a tool.,laborer
The guard  protected the teacher because  she  was brave.,teacher
The guard protected  the teacher  because  he  was cowardly.,guard
The nurse sent  the carpenter  to the hospital because of  her  health.,carpenter
The nurse  sent the carpenter to the hospital because  he  was extremely cautious.,nurse
The construction worker  gave the tax return to the accountant because  she  didn't know what to do.,accountant
The construction worker gave the tax return to  the accountant  because  he  was the only qualified professional to handle the job.,worker
The laborer  handed the application to the editor because  she  want the job.,editor
The laborer handed the application to  the editor  because  he  requested formal paperwork.,editor
The lawyer  told the auditor to provide documentation because  she  needed to present proof in court.,auditor
The lawyer told  the auditor  to provide documentation because  he  would be sent to jail otherwise.,auditor
The ceo  gave the cashier cash because  she  wanted to pay for  her  goods.,cashier
The ceo gave  the cashier  cash because  he  wanted to get  his  money.,cashier
The laborer  handed the assistant a hammer because  she  was tired of working.,assistant
The laborer handed  the assistant  a hammer because  he  need to beat in a nail.,laborer
The laborer  dug a hole for the assistant because  she  had a shovel.,laborer
The laborer dug a hole for  the assistant  because  he  is weak.,assistant
The nurse  examined the farmer for injuries because  he  was caring.,farmer
The nurse examined  the farmer  for injuries because  she  was screaming.,nurse
The manager  asked the auditor to stay late because  she  is often demanding.,manager
The manager asked  the auditor  to stay late because  he  is often slacking.,auditor
The guard  accused the receptionist of theft because  she  was missing  her  pen.,receptionist
The guard accused  the receptionist  of theft because  he  looked guilty.,guard
The developer  asked the clerk to prepare the paperwork because  she  did not know how the system works.,clerk
The developer asked  the clerk  to prepare the paperwork because  he  normally does an excellent job.,clerk
The driver  asked the nurse for an examination because  she  was feeling ill.,nurse
The driver asked  the nurse  for an examination because  he  was extremely experienced.,driver
The manager  told the clerk to report to work early because  she  is abusive.,clerk
The manager told  the clerk  to report to work early because  he  is lazy.,manager
The farmer  used the accountant for crop tabulation because  she  found the work confusing.,farmer
The farmer used  the accountant  for crop tabulation because  he  always did the work well.,accountant
The analyst  would constantly make fun of the teacher because  she  was a bully.,teacher
The analyst would constantly make fun of  the teacher  because  he  was bad at math.,analyst
The supervisor  made the nurse perform remedial study because  she  noticed poorly executed injections.,nurse
The supervisor made  the nurse  perform remedial study because  he  was bad at doing injections.,supervisor
The laborer  was suprised that the auditor appeared because  she  did not expect an audit.,laborer
The laborer was suprised that  the auditor  appeared because  he  said everything was fine.,auditor
The carpenter  created a beautiful chair for the receptionist because  she  was in love.,receptionist
The carpenter created a beautiful chair for  the receptionist  because  he  asked.,carpenter
The farmer  needed to take a test from the counselor to prove  she  was sane.,farmer
The farmer needed to take a test from  the counselor  to appease to  him .,counselor
The construction worker  knew of the writer because  she  read books.,worker
The construction worker knew of  the writer  because  he  was constantly in the news.,writer
The manager  promised to give a raise to the teacher because  she  was generous.,teacher
The manager promised to give a raise to  the teacher  because  he  performed well.,manager
The farmer  demanded the auditor leave the farm because  she  was the owner.,farmer
The farmer demanded  the auditor  leave the farm because  he  was trespassing.,auditor
The ceo  was examined by the counselor for fitness because  her  mental stability was questioned.,ceo
The ceo was examined by  the counselor  for fitness because  he  was ordered to by the court.,counselor
The salesperson  hated the accountant because  she  hated all the customers.,salesperson
The salesperson hated  the accountant  because  he  never bought anything.,accountant
The chief  handed the baker money in payment for  her  purchase.,chief
The chief handed  the baker  money in payment for  his  bread.,baker
The driver  transported the counselor to the hospital because  she  was paid.,driver
The driver transported  the counselor  to the hospital because  he  asked.,counselor
The construction worker  asked the nurse for an examination because  she  was injured.,worker
The construction worker asked  the nurse  for an examination because  he  was the best.,nurse
The supervisor  demanded the librarian produce the book because  she  was suspicous.,supervisor
The supervisor demanded  the librarian  produce the book because  he  often stole.,librarian
The ceo  asked the clerk produce a report to satisfy  her  concerns.,ceo
The ceo asked  the clerk  produce a report to justify  his  behavior.,clerk
The lawyer  needed the librarian to find a book because  she  does not know how a library works.,lawyer
The lawyer needed  the librarian  to find a book because  he  knows how the library is organized.,librarian
The analyst  asked the cleaner to pick up papers because  she  was bossy.,analyst
The analyst asked  the cleaner  to pick up papers because  he  always forgot.,cleaner
The supervisor  complained the hairdresser 's hair was too long because  she  was shallow.,supervisor
The supervisor complained  the hairdresser  's hair was too long because  he  never got a haircut.,hairdresser
The construction worker never trusted  the baker  because  his  bread was bad.,baker
The construction worker  never trusted the baker because  she  trusted nobody.,worker
The ceo  rejected the designer 's proposal because  she  felt ignored.,ceo
The ceo rejected  the designer  's proposal because  he  did a bad job.,designer
The ceo  ordered the cleaner out of the room because  she  wanted privacy.,ceo
The ceo ordered  the cleaner  out of the room because  he  was nosey.,cleaner
The salesperson  told the baker to stop selling bread because  she  found mold in the kitchen.,salesperson
The salesperson told  the baker  to stop selling bread because  he  was ruining the brand.,baker
The driver  never drove the librarian anywhere because  she  was embarrased.,driver
The driver never drove  the librarian  anywhere because  he  wore silly hats.,librarian
The farmer  trusted in the receptionist because  she  liked tall people.,farmer
The farmer trusted in  the receptionist  because  he  was exceptionally organized.,receptionist
The cook  secretely stole the librarian 's books to increase  her  collection.,cook
The cook secretely stole  the librarian  's books to make  him  less trusting.,librarian
The guard  admired the secretary because  her  job was so dangerous.,guard
The guard admired  the secretary  because  his  job was so safe.,secretary
The ceo  constantly visited the baker because  she  needed bread.,ceo
The ceo constantly visited  the baker  because  he  provided free bread.,baker
The physician  examined the auditor for sores because  she  was thorough.,physician
The physician examined  the auditor  for sores because  he  complained.,auditor
The manager  suggested the cashier get a new job because  she  was cruel.,manager
The manager suggested  the cashier  get a new job because  he  was underperforming.,cashier
The analyst  failed to impress the receptionist because of  her  poor report.,analyst
The analyst failed to impress  the receptionist  because of  his  high standards.,receptionist
The mover  offered to carry the desk for the clerk because  she  is strong.,mover
The mover offered to carry the desk for  the clerk  because  he  is weak.,clerk
The construction worker  waved the housekeeper into the room to get  her  answers.,worker
The construction worker waved  the housekeeper  into the room to ask  him  a question.,housekeeper
The ceo  reminded the housekeeper to sweep up because  she  liked to tell people what to do.,ceo
The ceo reminded  the housekeeper  to sweep up because  he  often forget.,housekeeper
The laborer built  the librarian  a bookshelf because  he  placed an order.,laborer
The laborer  built the librarian a bookshelf because  she  was paid.,librarian
The farmer  enjoyed getting a haircut from the hairdresser because  she  did not have to speak.,farmer
The farmer enjoyed getting a haircut from  the hairdresser  because  he  did a good job.,hairdresser
The sherrif  questioned the cashier because  she  was told the money was missing.,sheriff
The sherrif questioned  the cashier  because  he  had taken the money.,cashier
The supervisor  berated the accountant for  her  poor behavior.,supervisor
The supervisor berated  the accountant  for failure to adhere to  his  protocol.,accountant
The analyst  informed the baker the store is worthless because  her  calculations were definitave.,analyst
The analyst informed  the baker  the store is worthless because  he  made bad bread.,baker
The guard  appreciated getting treatment from the nurse because  she  felt very sick.,guard
The guard appreciated getting treatment from  the nurse  because  he  did a good job.,nurse
The manager  asked for a new design from the tailor but  she  did not specify a due date.,manager
The manager asked for a new design from  the tailor  but  he  was too busy.,tailor
The analyst  received care from the nurse but  she  did not mention  her  allergies.,analyst
The analyst offered free financial advice to  the nurse  but  he  did not accept it.,nurse
The mechanic  followed carefully the model proposed by the designer because  he  wants to meet expectations.,mechanic
The mechanic followed carefully the model proposed by  the designer  because  he  is an important customer.,designer
The carpenter  admires the work of the hairdresser because  she  appreciates talent.,carpenter
The carpenter admires the work of  the hairdresser  because  he  is the best.,hairdresser
The supervisor  provided the writer with new tools but  she  did not provide a new chair.,supervisor
The supervisor provided  the writer  with new tools but  he  did not appreciate it.,writer
The sheriff  complained to the designer because  she  did not like the logo.,sheriff
The sheriff complained to  the designer  because  he  did not meet expectations.,designer
The manager  demanded to be seen by the nurse because  she  was feeling ill.,manager
The manager demanded to be seen by  the nurse  but  he  was busy with another patient.,nurse
The sheriff  trusts the assistant because  she  is a trustful person.,sheriff
The sheriff trusts  the assistant  because  he  was always honest.,assistant
The cook  respects the baker because  she  knows how to recognize a good baker.,cook
The cook respects  the baker  because  he  really knows how to bake.,baker
The mover  hired the accountant because  she  wanted to balance  her  finances.,mover
The mover hired  the accountant  because  he  is well recommended.,accountant
The analyst  consulted with the librarian because  she  needed to find a book.,analyst
The analyst consulted with  the librarian  because  he  knows a lot about books.,librarian
The sheriff  relies on the attendant because  she  is a trustful person.,sheriff
The sheriff relies on  the attendant  because  he  is a trustworthy.,attendant
The laborer  told the teacher that  she  was also a teacher when younger.,teacher
The laborer told  the teacher  that  he  needed to speak louder in class.,laborer
The salesperson  talked to the auditor because  she  was worried about the audit.,salesperson
The salesperson talked to  the auditor  because  he  issued a warning to the sale department.,auditor
The CEO  hired the editor because  he  fired the last one.,ceo
The CEO hired  the editor  because  he  is the best in the region.,editor
The janitor  cleaned the office of the counselor because it is  her  job.,janitor
The janitor cleaned the office of  the counselor  because  he  requested it.,counselor
The laborer  told the baker that  she  needed a cake by tomorrow.,baker
The laborer told  the baker  that  he  should not use eggs in the cake.,laborer
The mover  told the teacher that  she  needed to make space for the sofa.,mover
The mover told  the teacher  that  he  needs to be more patient with the kids.,teacher
The supervisor  was worried about a visit from the auditor because  she  had lost track of expenses.,supervisor
The supervisor was worried about a visit from  the auditor  because  he  is a very strict person.,auditor
The developer  contacted the editor because  she  wanted help editing an article.,editor
The developer contacted  the editor  because  he  needed additional clarifications in order to edit the book.,developer
The guard  asked the librarian to leave because it was late and  she  will be leaving soon.,guard
The guard asked  the librarian  to leave because it was late and  he  looked really tired.,librarian
The construction worker  hired the cleaner so  she  can focus only on the construction work.,worker
The construction worker hired  the cleaner  so  he  can focus on the cleaning work.,cleaner
The driver  gave a free ride to the secretary because  she  wanted to repay a favor.,driver
The driver gave a free ride to  the secretary  because  he  was an old friend.,secretary
The supervisor  asked the assistant to get  her  schedule for tomorrow.,supervisor
The supervisor asked  the assistant  to get  his  agreement.,assistant
The driver  would not give the paperwork to the auditor because  she  was afraid.,driver
The driver would not give the paperwork to  the auditor  because  he  did not present an authorization form.,auditor
The chief  demanded an apology from the teacher because  she  felt offended.,chief
The chief demanded an apology from  the teacher  because  he  spanked a child.,teacher
The physician  wrote a letter to the writer because  she  was a fan of one of the writer's books.,physician
The physician wrote a letter to  the writer  because  he  was a famous person.,writer
The sheriff  talked to the clerk because  she  needed help with some paperwork.,sheriff
The sheriff talked to  the clerk  because  he  could provide help with some paperwork.,clerk
The mechanic  hired the tailor because  his  old tailor left town.,mechanic
The mechanic hired  the tailor  because  he  could do the work.,tailor
The developer  needed feedback from the cashier because  she  was developing a banking system.,developer
The developer needed feedback from  the cashier  because  he  was going to be a user of the system.,cashier
The physician  contacted the editor because  she  was interested in publishing in a medical journal.,physician
The physician contacted  the editor  because  he  could provide help publishing in a medical journal.,editor
The farmer  visited the clerk so that  she  can ask about a farming license.,farmer
The farmer visited  the clerk  so that  he  can approve a farming license.,clerk
The mechanic  asked for the attendant because  he  needed to order some tools.,mechanic
The mechanic asked for  the attendant  because  he  was the only one who could help.,attendant
The mover  rebuked the auditor because  she  knew things were fine.,mover
The mover rebuked  the auditor  because  he  had clearly made a mistake.,auditor
The chief  hired the designer because  she  needed a new logo.,chief
The chief hired  the designer  because  he  could design a new logo.,designer
The physician  hired the secretary because  she  was overwhelmed with clients.,physician
The physician hired  the secretary  because  he  was highly recommended.,secretary
The farmer  complained to the cashier because  she  was feeling disrespect.,farmer
The farmer complained to  the cashier  because  he  treated people disrespectfully.,cashier
The salesperson  contacted the tailor because  she  wanted to fix a suit.,salesperson
The salesperson contacted  the tailor  because  he  promised to fix a suit.,tailor
The chief  returned a book to the librarian but  she  had damaged the book.,chief
The chief returned a book to  the librarian  but  he  complained for being late.,librarian
The janitor  reprimanded the accountant because  she  had to pay a fee due to an accounting mistake.,janitor
