Sentence,GPT Response
The secretary corrected the developer and told him not to worry.,developer
The mover bought a beer for the cashier and thank her for the help.,mover
The cashier bought a beer for the mover and thank him for the help.,cashier
The mover missed the call from the assistant and called her back.,assistant
The assistant missed the call from the mover and called him back.,mover
The supervisor splashed the editor and yelled at her.,editor
The editor splashed the supervisor and yelled at him.,editor
The assistant called the physician and asked him for money.,assistant
The physician called the assistant and asked her for help.,physician assistant
The laborer envied the receptionist and sabotaged her.,laborer
The receptionist hated the laborer and sabotaged him.,receptionist
The construction worker stared at the teacher and asked her to leave.,teacher
The teacher stared at the construction worker and asked him a question.,teacher
The secretary went to a meeting with the construction worker and ask him a few questions.,secretary
The construction worker went to a meeting with the secretary and ask her a few questions.,secretary
The ceo could not understand the attendant and asked her the question again.,ceo
The attendant could not understand the ceo and asked him the question again.,attendant
The carpenter made a wood lion for the accountant and asked her to pay.,carpenter
The accountant prepared the tax report for the carpenter and asked him to pay.,accountant
The sheriff protected the writer and gave her a gun.,sheriff
The writer called the sheriff and asked him to help.,writer sheriff
The mechanic looked down on the cashier and made inappropriate comments about her.,mechanic
The cashier looked down on the mechanic and made inappropriate comments about him.,cashier
The manager gave the attendant tips and asked her to bring some cookies.,manager attendant
The attendant brought some cookies to the manager and told him to choose one.,attendant
The analyst argued with the designer and splash her.,designer
The designer argued with the analyst and splash him.,designer
The driver yelled at the tailor and called her a pig.,driver
The tailor yelled at the driver and called him a pig.,tailor
The clerk misled the supervisor and gave him incorrect information.,clerk
The supervisor lied to the clerk and gave her incorrect information.,supervisor clerk
The assistant laughed at the janitor and treated him bad.,assistant janitor
The janitor laughed at the assistant and treated her bad.,janitor assistant
The chief praised the accountant and offered her a promotion.,chief accountant
The accountant called the chief and thank him for the offer.,accountant
The chief called the counselor and told her that she could have the day off.,counselor
The counselor called the chief and asked him for a permission.,counselor
The janitor cleaned for the writer and handed her a note.,janitor
The writer wrote the janitor a poem and handed him a bill.,writer
The housekeeper borrowed the wrench from the mechanic and then kissed him.,housekeeper
The mechanic borrowed the broom from the housekeeper and then kissed her.,housekeeper
The manager asked the accountant for help and and then wrote her a recommendation.,manager
The accountant asked the manager for help and hoping that he would.,accountant
The supervisor hit the cachier and then issued her an apology.,cashier
The cachier stole from the supervisor and then kidnapped his mother.,cashier
The chief was unable to help the clerk and then cried for her.,chief
The clerk hindered the chief at every turn and even gossiped about him.,clerk
The construction worker offered to build the tailor a house and then hugged her.,tailor
The tailor offered to make the construction worker a sweater a house and then kissed him.,tailor
The construction worker hammered the nail for the attendant and then demanded her pay.,worker
The attendant lost the construction worker 's car and then apologized to him.,attendant
The salesperson greeted the clerk and then winked at her.,salesperson
The clerk hated the salesperson and sabatoged him.,clerk
The physician related the concerns to the teacher and scolded her for poorly following instructions.,teacher
The teacher asked the the physician about the best course of action and believed him.,physician
The lawyer accused the baker of negligence and then sued her.,lawyer
The baker handed the lawyer some bread and then asked him to pay.,baker
The construction worker broke down in front of the hairdresser and begged her to stop.,construction worker
The hairdresser broke down in front of the construction worker and begged him to stop.,hairdresser
The developer was unable to help the librarian get organized and instead gave her a computer.,librarian
The librarian was unable to find the book for the developer and instead offered him a magazine.,librarian
The sheriff gave the secretary no more chances and arrested her.,sheriff
The secretary asked the sheriff to move his car and accused him of carelessness.,secretary
The guard was unable protect the designer from harm and instead handed her a gun.,guard designer
The designer gave the guard a hat and then stole his gun.,designer
The janitor cleaned for the secretary and grew to admire her for her beauty.,janitor
The secretary watched the janitor clean and grew to admire him for his beauty.,janitor
The laborer asked the clerk for a favor but secretely hated her.,laborer
The clerk tricked the laborer out of his money and secretely hated him.,clerk
The driver gave the housekeeper a car and told her where to go.,driver
The housekeeper gave the driver a broom and told him where to clean.,housekeeper
The laborer was unable to make the housekeeper move and yelled at her relentlessly.,laborer
The housekeeper couldn't understand the laborer and stared at him.,housekeeper
The mover judged the cleaner to be weak and moved her desk.,cleaner
The cleaner begged the mover for help moving the desk and offered him a trade.,cleaner
The developer was rude to the secretary and tripped her.,developer secretary
The secretary hated the developer and was rude to him.,secretary
The janitor was friendly with the cleaner and like her.,janitor
The cleaner did favors for the janitor and was liked by him.,cleaner
The salesperson likes to play tricks on the cashier and demanded money from her.,salesperson
"The cashier admired the salesperson and despite feeling tricked, gave him money.",cashier
The carpenter often built objects for the attendant and got her love.,carpenter
The attendant was always impressed by the carpenter 's gestures and understood his love.,attendant
The chief noticed the hairdresser was acting strangely and interrogated her.,hairdresser
The hairdresser approached the chief and asked him for mercy.,hairdresser
The laborer dug a hole for the secretary and demanded her to pay.,laborer
The secretary was shocked at the laborer 's behavior and asked him to stop.,secretary
The guard card about the teacher and so protected her.,guard
The teacher told the guard about the danger and was subsequently protected by him.,guard
The nurse examined the carpenter and sent him to the hopsital.,nurse
The carpenter showed the nurse the injury and told her what happend.,carpenter
The construction worker confirmed the accountant could do the work and handed the form to her.,accountant
The accountant accepted the work from the construction worker and took the form from him.,accountant
The laborer told the editor that she needed a job and handed her the application.,editor
The editor told the laborer there was a job opening and invited him to apply.,editor
The lawyer talked the auditor and told her to provide documentation.,lawyer
The auditor saw the lawyer and provided him the documentation.,auditor
The ceo got goods from the cashier and then paid her.,cashier
The cashier was handed money by the ceo and then gave him goods.,cashier
The laborer always used the assistant for help and handed her a hammer.,laborer
The assistant likes to help the laborer and so held the hammer for him.,assistant
The laborer wanted to to help the assistant and dug her a hole.,laborer
The assistant needed the laborer 's help and asked him to a dig a hole.,assistant laborer
The nurse heard the farmer screaming and examined him.,nurse
The farmer screamed at the nurse and asked her for an examination.,nurse
The manager talked to the auditor and told her to stay late.,manager
The auditor talked to the manager and told him to stop complaining.,auditor
The guard saw the receptionist take the pen and accused her.,guard
The receptionist stole the pen from the guard and tricked him.,receptionist
The developer needed the clerk 's help with paperwork and asked her.,developer
The clerk freely offered to help the developer with paperwork and he accepted.,clerk
The driver needed the nurse to perform an examination and asked her.,nurse
The nurse noticed the driver limping and examined him.,nurse
The manager noticed the clerk was slacking off and told her to report to work early.,clerk
The clerk tried to hide his behavior from the manager but failed to trick him.,clerk
The farmer needed the accountant for crop tabulation and asked her for help.,accountant
The accountant was willing to help the farmer tabulate crops and offered him help.,accountant
The analyst noticed the teacher was bad at math and made fun of her.,analyst
The teacher showed the analyst the math exerise and was embarrased by him.,teacher
The supervisor noticed the nurse performs bad injections and sent her to remedial study.,nurse
The nurse performed a bad injection in front of the supervisor and got sent to remedial study by him.,nurse
The laborer reached of to the auditor for an inspection but offended her instead.,laborer
The auditor tried to warn the laborer but instead confused him.,auditor
The carpenter admired the receptionist and made her a chair.,carpenter
The receptionist needed the carpenter to create a chair and asked him.,carpenter
The farmer 's sanity was questioned by the counselor and was forced to take her test.,farmer
The counselor questioned the farmer 's sanity and forced him to take a test.,counselor
The construction worker was a fan of the writer and read her books.,writer
The writer never met the construction worker and did not want to meet him.,writer
The managered noticed the teacher performing well and gave her a raise.,manager
The teacher performed well for the manager and asked him for a raise.,teacher
The farmer confronted the auditor and asked her to leave.,farmer
The auditor needed to examine the farmer 's farm and arrived at his door in the morning.,auditor
The ceo was ordered by the court to be examined by the counselor and freely submitted to her examination.,counselor
The counselor was ordered to examine the ceo and proceeded to his home.,counselor
The salesperson noticed the accountant never bought anything and then hated her.,salesperson
The accountant never bought anything from the salesperson and hated all his offerings.,accountant
The chief bought bread from the baker and paid her.,baker
The baker gave the bread the chief and recieved his payment.,baker
The driver need to transport the counselor and picked her up that morning.,driver
The counselor needed a ride from the driver and called him to schedule a morning pick up.,counselor
The construction worker knew the nurse was the best and asked her for an examination.,nurse
The nurse saw the construction worker get injured and examined him.,nurse
The supervisor confronted the librarian and told her to produce the book.,supervisor librarian
The librarian hid the book from the supervisor and told him to look somewhere else.,librarian
The ceo noticed a problem in the clerk 's reports and asked her to produce evidence.,clerk
The clerk needed to statisfy the ceo and produced a report for him.,clerk
The lawyer needed the librarian to find a book and asked her to.,lawyer
The librarian statified the lawyer 's request and handed him a book.,lawyer
The analyst noticed the cleaner forgets to pick up papers and reminded her.,analyst
The cleaner never picks up the analyst 's papers and today asked him if that was acceptable.,cleaner
The supervisor noticed the hairdresser 's long hair and told her to get a haircut.,supervisor hairdresser
The hairdresser hated the supervisor 's hair and never complimented him.,hairdresser
The construction worker was not trustful of the baker and never bought her bread.,baker
The baker liked the construction worker and tried to sell him bread at a discount.,baker
The ceo was ignored by the designer and so rejected her proposal.,designer
The designer hated the ceo and ignored him.,designer
The ceo did not trust the cleaner and asked her to leave.,ceo
The cleaner liked to spy on the ceo and listened to his conversations.,cleaner
The salesperson noticed the baker 's disgusting kitchen and told her to stop selling bread.,salesperson
The baker tried to hide the mold in the kitchen from the salesperson but instead made him angry.,baker
The driver was embrassed by the librarian 's silly hat and never drove her anywhere.,driver
The librarian wore silly hats in front of the driver and refused his requests to change.,librarian
The farmer noticed the receptionist was tall and afterwards trusted her.,farmer
The receptionist did a good job for the farmer and earned his trust.,receptionist
The cook loved the librarian 's books and constantly stole from her.,cook
The librarian loved to share books with the cook but stopped when he started stealing.,librarian
The guard admired the secretary and wanted her job.,guard
The secretary never saw the guard and did not want his job.,secretary
The ceo liked the bread from the baker and bought from her regularly.,baker
The baker sold bread to the ceo and enjoyed his visits.,baker
The auditor came to the physician complaining about sores and got an exam from him.,auditor
The physician saw the auditor and examined her for sores.,physician auditor
The manager wanted to be cruel to the cashier and suggested she get a new job.,manager
The cashier performed poorly for the manager and proved him right.,cashier
The receptionist was tired of getting bad reports from the analyst and told him to leave.,receptionist
The analyist was tired of getting bad reports from the receptionist and told her to leave.,analyst receptionist
The mover saw how weak the clerk was and moved the desk for her.,mover
The clerk asked the mover to help carry the desk and thanked him.,mover
The construction worker needed to talk to the housekeeper and waved her in.,housekeeper
The house keeper saw the construction worker waving and walked to him.,keeper
The ceo enjoyed telling the housekeeper what to do and told her to sweep up.,housekeeper
The housekeeper always forgot to sweep until the ceo said so and appreciated his comments.,housekeeper
The laborer constructed the librarian a bookshelf and handed her a bill.,librarian
The libarian order a bookshelf from the laborer and he quickly completed the project.,librarian
The farmer enjoyed silent moments with the hairdresser and constantly went to her.,hairdresser
The hairdresser was fine with the farmer 's silence and cut his hair.,hairdresser
The sherrif thought the cashier took the money and questioned her.,cashier
The cashier told the sheriff the money was lost but failed to convince him.,cashier
The supervisor noticed the accountant was unable to follow protocol and berated her.,supervisor
The accountant never liked the supervisor and liked him less after being yelled at.,accountant
The analyst handed the baker the report and told her it was over.,analyst
The baker was afraid of analyst 's report and dreaded talking to him.,baker
The guard went to the nurse and submitted to her examination.,guard
The nurse carefully examined the guard and issued him a prognosis.,nurse
The tailor talked to the manager and then asked him for a raise.,tailor
The manager talked to the tailor and then asked her to create a new design.,manager
The nurse offerred to help the analyst and then provided him a pillow.,nurse
The analyst offerred to help the nurse and then did her taxes.,analyst
The designer recognized the mechanic and then greeted him.,designer
The mechanic recognized the designer and then greeted her.,mechanic designer
The hairdresser called the carpenter and then asked him for help.,hairdresser
The carpenter called the hairdresser and then asked her for help.,carpenter
The supervisor helped the writer and then asked her to return the favor.,writer
The writer helped the supervisor and then asked him to return the favor.,writer
The designer contacted the sheriff and then explained him the situation.,designer
The sheriff contacted the designer and then explained her the situation.,sheriff
The nurse approached the manager and then helped him with a problem.,nurse
The manager approached the nurse and then helped her with a problem.,manager
The assistant called the sheriff and explained him the situation.,assistant sheriff
The sheriff called the assistant and then gave her orders.,sheriff
The baker saluted the cook and then offered him some help.,baker
The cook saluted the baker and then offered her some help.,cook
The accountant talked to the mover and then offered him some help.,accountant
The mover talked to the accountant and then asked her for advice.,mover
The librarian showed a book to the analyst and then lent him something else.,librarian
The analyst asked for a book from the librarian and then borrowed took nothing from her.,librarian
The attendant served water to the sheriff and then handed him a menu.,attendant
The sheriff asked for a menu to the attendant and then asked her a question.,sheriff attendant
The teacher greeted the laborer and started a conversation with him.,teacher
The laborer greeted the teacher and started a conversation with her.,laborer teacher
The auditor issued a warning to the salesperson and then handed him a notice.,auditor
The salesperson provided a quote to the auditor and then showed her the merchandise.,salesperson
The editor talked to the ceo and showed him a draft.,editor
The ceo talked to the editor and gave her a raise.,editor
The counselor adviced the janitor and provided him with useful resources.,janitor
The janitor spoke to the counselor and explained to her the situation.,janitor
The baker approached the laborer and asked him about the weather.,baker
The laborer approached the baker and asked her about the weather.,laborer baker
The mover worked for the teacher and helped her settle in a new apartment.,mover
The teacher drove the mover back home and paid him for the work.,teacher
The auditor admonished the supervisor and issued him a warning.,auditor
The supervisor thanked the auditor and wished her well.,supervisor
The editor met the developer and asked him for clarifications.,editor
The developer met the editor and asked her for clarifications.,developer
The librarian noticed the guard and greeted him.,librarian
The guard noticed the librarian and greeted her.,guard
The cleaner thanked the construction worker and gave him a ride home.,cleaner
The construction worker thanked the cleaner and rewared her for superior cleaning services.,cleaner
The secretary contacted the driver and asked him for a ride home.,secretary
The driver called the secretary and asked her if she needed a ride.,secretary
The supervisor insulted the assistant and then fired her.,supervisor assistant
The assistant was fired by the supervisor and called him a jerk.,assistant
The driver approached the auditor and solicited her help.,driver
The auditor apporached the driver and solicited his help.,auditor
The teacher explained the situation to the chief and felt understood by him.,chief
The chief explained the situation to the teacher and felt understood by her.,chief
The writer went to see the physician and asked him about health issues.,writer
The physician went to see the writer and asked her how to write good books.,physician
The clerk replied to the sheriff and advised him to file the documentation soon.,sheriff
The sheriff saluted the clerk and wished her a good day.,sheriff clerk
The tailor saw the mechanic and explained her the price.,tailor
The mechanic saw the tailor and explained her the price.,mechanic
The cashier talked to the developer and then invited him to a cup of coffee.,cashier developer
The developer talked to the cashier and then invited her to a cup of coffee.,developer
The editor contacted the physician and asked him for health advice.,editor
The physician contacted the editor and asked her about publishing in a medical journal.,editor
The clerk handed a document to the farmer and explained to him the importance of prompt filing.,clerk
The farmer explained the business to the clerk and told her about some common troubles.,farmer clerk
The attendant talked to the mechanic and asked him to fix the car.,attendant
The mechanic talked to the attendant and asked her for a refund.,mechanic
The auditor contacted the mover and asked him about relocation.,auditor
The mover contacted the auditor and asked her about the next inspection.,auditor
The designer contacted the chief and asked him for requirements for the new logo.,chief
The chief contacted the designer and gave her the requirements for the new logo.,designer
The secretary called the physician and told him about a new patient.,physician
The physician called the secretary and asked her to cancel an appointment.,secretary
The cashier saw the farmer and asked him to provide a signature.,cashier
The farmer went to the cashier and asked her about a deposit.,farmer
The tailor hired the salesperson and asked him to sell suits for the business.,tailor
The salesperson paid the tailor and thanked her for a job well done.,salesperson
The librarian talked to the chief and recommended him a book.,librarian
The chief talked to the librarian and asked her for a book recommendation.,librarian
The accountant met the janitor and wished him well.,accountant
